Gen,Importancia
SLC34A2,0.0023723148520736212
MYO1A,0.0019766021937949172
HNF4A,0.0018438474161752082
MIR3131,0.0017797967574500668
SFTPB,0.001760163898517259
SCPEP1,0.001740528737516085
SFTA3,0.0016496772949248881
SCGB3A1,0.0016126914788312195
SFTPC,0.0016088383748309768
AQP4,0.0015858305549320709
PEBP4,0.0015767898431715763
SFTPD,0.0015402144217016114
LYPD8,0.0014874501005728033
IRX5,0.0014756285309999464
KRT7,0.0014295176720549212
MUC12,0.001350407445540196
ROS1,0.0013473435437383336
IRX3,0.0013203616606562256
TRABD2A,0.0013126445971762097
AGMAT,0.0013103410204204273
